p(the | <s>) = 0.04022112085398399
p(on | <s>) = 0.004003049942813572
p(issue | the) = 0.002133436772692009
p(of | issue) = 0.006485849056603773
p(this | of) = 0.003102086858432036
p(question | this) = 0.005566801619433198
p(depended | question) = 0.006447831184056271
p(whether | depended) = 0.006485849056603773
p(continue | should) = 0.006090808416389811
p(my | continue) = 0.006485849056603773
p(work | my) = 0.004790940766550522
p(at | work) = 0.006373117033603708
p(briony | at) = 0.005149812734082397
p(or | lodge) = 0.006193693693693694
p(turn | or) = 0.0058949624866023575
p(my | turn) = 0.006447831184056271
p(to | attention) = 0.00641025641025641
p(s | gentleman) = 0.006228765571913929
p(chambers | s) = 0.005926724137931034
p(in | chambers) = 0.006447831184056271
p(</s> | temple) = 0.012166859791425259
p(broad | his) = 0.008447304907481898
p(black | broad) = 0.006447831184056271
p(hat | black) = 0.006447831184056271
p(his | hat) = 0.006447831184056271
p(baggy | his) = 0.004424778761061947
p(trousers | baggy) = 0.006485849056603773
p(his | trousers) = 0.006485849056603773
p(white | his) = 0.004424778761061947
p(tie | white) = 0.00641025641025641
p(his | tie) = 0.006485849056603773
p(sympathetic | his) = 0.004424778761061947
p(smile | sympathetic) = 0.006485849056603773
p(and | smile) = 0.006485849056603773
p(general | and) = 0.002984264785675529
p(look | general) = 0.006447831184056271
p(of | look) = 0.006264236902050114
p(peering | of) = 0.003102086858432036
p(and | peering) = 0.006485849056603773
p(benevolent | and) = 0.002984264785675529
p(curiosity | benevolent) = 0.006485849056603773
p(were | curiosity) = 0.006485849056603773
p(such | were) = 0.005771248688352571
p(mr | as) = 0.005198487712665407
p(john | mr) = 0.006264236902050114
p(hare | john) = 0.006373117033603708
p(alone | hare) = 0.006485849056603773
p(could | alone) = 0.006485849056603773
p(equalled | have) = 0.005032021957913998
p(</s> | equalled) = 0.006485849056603773
p(good | and) = 0.002984264785675529
p(watson | night) = 0.006264236902050114
p(he | watson) = 0.006300114547537227
p(added | he) = 0.004407051282051282
p(as | added) = 0.006485849056603773
p(the | as) = 0.014650283553875236
p(wheels | the) = 0.002133436772692009
p(of | wheels) = 0.00641025641025641
p(brougham | royal) = 0.006447831184056271
p(rolled | brougham) = 0.00641025641025641
p(down | rolled) = 0.006485849056603773
p(the | down) = 0.021972132904608786
p(heard | i) = 0.00575973669775096
p(no | heard) = 0.006228765571913929
p(more | no) = 0.00605726872246696
p(has | there) = 0.005566801619433198
p(been | has) = 0.011314655172413791
p(no | been) = 0.010791366906474819
p(result | no) = 0.00605726872246696
p(no | result) = 0.006485849056603773
p(sign | no) = 0.00605726872246696
p(of | sign) = 0.006485849056603773
p(it | of) = 0.014382402707275801
p(absolutely | it) = 0.0037593984962406017
p(none | absolutely) = 0.00641025641025641
p(holmes | none) = 0.006300114547537227
p(laughed | holmes) = 0.005350194552529183
p(</s> | laughed) = 0.00641025641025641
p(wire | must) = 0.00605726872246696
p(to | wire) = 0.006485849056603773
p(without | king) = 0.006024096385542168
p(delay | without) = 0.006159014557670772
p(we | delay) = 0.006485849056603773
p(reached | had) = 0.005009107468123861
p(baker | reached) = 0.006485849056603773
p(had | and) = 0.002984264785675529
p(stopped | had) = 0.005009107468123861
p(at | stopped) = 0.006485849056603773
p(</s> | door) = 0.0173572228443449
p(i | was) = 0.007847533632286996
p(take | i) = 0.0030170049369171695
p(the | it) = 0.007177033492822967
p(perfect | most) = 0.006264236902050114
p(reasoning | perfect) = 0.006485849056603773
p(and | reasoning) = 0.006485849056603773
p(observing | and) = 0.002984264785675529
p(machine | observing) = 0.006447831184056271
p(that | machine) = 0.006485849056603773
p(world | the) = 0.002133436772692009
p(has | world) = 0.006485849056603773
p(seen | has) = 0.005926724137931034
p(but | seen) = 0.006264236902050114
p(as | but) = 0.0052231718898385565
p(a | as) = 0.00992438563327032
p(lover | a) = 0.003155479059093517
p(he | lover) = 0.006485849056603773
p(would | he) = 0.004407051282051282
p(placed | have) = 0.005032021957913998
p(himself | placed) = 0.006485849056603773
p(in | himself) = 0.0063364055299539165
p(false | a) = 0.00889271371199082
p(position | false) = 0.00641025641025641
p(</s> | position) = 0.006447831184056271
p(used | he) = 0.004407051282051282
p(to | used) = 0.006485849056603773
p(merry | make) = 0.006300114547537227
p(over | merry) = 0.006485849056603773
p(the | over) = 0.006193693693693694
p(cleverness | the) = 0.002133436772692009
p(of | cleverness) = 0.006485849056603773
p(women | of) = 0.003102086858432036
p(but | women) = 0.006447831184056271
p(heard | not) = 0.00510204081632653
p(do | him) = 0.005741127348643006
p(it | do) = 0.005958829902491874
p(of | it) = 0.0037593984962406017
p(late | of) = 0.003102086858432036
p(</s> | late) = 0.006447831184056271
p(contrary | the) = 0.002133436772692009
p(for | contrary) = 0.006485849056603773
p(a | for) = 0.005350194552529183
p(street | small) = 0.006373117033603708
p(in | street) = 0.005991285403050109
p(quiet | a) = 0.003155479059093517
p(neighbourhood | quiet) = 0.006447831184056271
p(it | neighbourhood) = 0.006485849056603773
p(remarkably | was) = 0.004110612855007474
p(animated | remarkably) = 0.006447831184056271
p(</s> | animated) = 0.006485849056603773
p(took | you) = 0.004110612855007474
p(me | took) = 0.006300114547537227
p(completely | in) = 0.0037722908093278463
p(</s> | completely) = 0.006485849056603773
p(two | <s>) = 0.0020968356843309188
p(attempts | two) = 0.006193693693693694
p(of | attempts) = 0.006447831184056271
p(sort | the) = 0.002133436772692009
p(have | sort) = 0.006447831184056271
p(already | have) = 0.00960658737419945
p(been | already) = 0.006373117033603708
p(made | been) = 0.010791366906474819
p(</s> | made) = 0.01189127972819932
p(close | was) = 0.004110612855007474
p(upon | close) = 0.006485849056603773
p(four | upon) = 0.005832449628844114
p(before | four) = 0.006447831184056271
p(the | before) = 0.011824324324324323
p(opened | door) = 0.006159014557670772
p(and | opened) = 0.006447831184056271
p(drunken | a) = 0.003155479059093517
p(looking | drunken) = 0.006485849056603773
p(groom | looking) = 0.006373117033603708
p(ill | groom) = 0.006447831184056271
p(kempt | ill) = 0.006447831184056271
p(and | kempt) = 0.006485849056603773
p(side | and) = 0.002984264785675529
p(whiskered | side) = 0.006373117033603708
p(with | whiskered) = 0.006485849056603773
p(an | with) = 0.004986400725294651
p(inflamed | an) = 0.005741127348643006
p(face | inflamed) = 0.006485849056603773
p(and | face) = 0.012027491408934707
p(disreputable | and) = 0.002984264785675529
p(clothes | disreputable) = 0.006485849056603773
p(walked | clothes) = 0.006447831184056271
p(into | walked) = 0.00641025641025641
p(german | the) = 0.004072924747866563
p(who | german) = 0.012027491408934707
p(is | who) = 0.01609553478712357
p(so | is) = 0.004610226320201173
p(uncourteous | so) = 0.005926724137931034
p(to | uncourteous) = 0.006485849056603773
p(his | to) = 0.01152980877390326
p(verbs | his) = 0.004424778761061947
p(</s> | verbs) = 0.006485849056603773
p(came | it) = 0.0037593984962406017
p(by | came) = 0.006373117033603708
p(last | the) = 0.002133436772692009
p(post | last) = 0.006485849056603773
p(said | post) = 0.006447831184056271
p(for | but) = 0.0052231718898385565
p(trained | the) = 0.002133436772692009
p(reasoner | trained) = 0.006447831184056271
p(to | reasoner) = 0.006447831184056271
p(admit | to) = 0.003093363329583802
p(such | admit) = 0.006485849056603773
p(intrusions | such) = 0.006264236902050114
p(into | intrusions) = 0.006485849056603773
p(delicate | own) = 0.005958829902491874
p(and | delicate) = 0.006447831184056271
p(finely | and) = 0.002984264785675529
p(adjusted | finely) = 0.006485849056603773
p(temperament | adjusted) = 0.006485849056603773
p(was | temperament) = 0.006485849056603773
p(introduce | to) = 0.003093363329583802
p(a | introduce) = 0.006485849056603773
p(distracting | a) = 0.003155479059093517
p(factor | distracting) = 0.006485849056603773
p(which | factor) = 0.006485849056603773
p(might | which) = 0.005149812734082397
p(throw | might) = 0.006228765571913929
p(a | throw) = 0.006447831184056271
p(doubt | a) = 0.006024096385542168
p(upon | doubt) = 0.006373117033603708
p(all | upon) = 0.005832449628844114
p(his | all) = 0.005741127348643006
p(mental | his) = 0.004424778761061947
p(results | mental) = 0.006485849056603773
p(</s> | results) = 0.006485849056603773
p(will | we) = 0.005595116988809766
p(be | will) = 0.02117768595041322
p(shown | be) = 0.005198487712665407
p(into | shown) = 0.00641025641025641
p(to | room) = 0.005958829902491874
p(wait | to) = 0.008717660292463441
p(for | wait) = 0.00641025641025641
p(but | lady) = 0.006264236902050114
p(probable | is) = 0.004610226320201173
p(that | probable) = 0.006485849056603773
p(when | that) = 0.004270186335403727
p(comes | she) = 0.004811898512685914
p(she | comes) = 0.006447831184056271
p(may | she) = 0.004811898512685914
p(find | may) = 0.00580168776371308
p(neither | find) = 0.006373117033603708
p(us | neither) = 0.006485849056603773
p(nor | us) = 0.006264236902050114
p(the | nor) = 0.006447831184056271
p(</s> | photograph) = 0.011314655172413791
p(with | <s>) = 0.0020968356843309188
p(hardly | with) = 0.004986400725294651
p(a | hardly) = 0.00641025641025641
p(word | a) = 0.003155479059093517
p(spoken | word) = 0.006373117033603708
p(but | spoken) = 0.006447831184056271
p(with | but) = 0.0052231718898385565
p(kindly | a) = 0.003155479059093517
p(eye | kindly) = 0.006447831184056271
p(he | eye) = 0.006447831184056271
p(waved | he) = 0.004407051282051282
p(me | waved) = 0.006485849056603773
p(to | me) = 0.005456349206349206
p(an | to) = 0.01152980877390326
p(armchair | an) = 0.010960334029227557
p(threw | armchair) = 0.006373117033603708
p(across | threw) = 0.00641025641025641
p(his | across) = 0.00641025641025641
p(case | his) = 0.004424778761061947
p(of | case) = 0.01755379388448471
p(cigars | of) = 0.003102086858432036
p(and | cigars) = 0.006447831184056271
p(indicated | and) = 0.002984264785675529
p(a | indicated) = 0.006485849056603773
p(spirit | a) = 0.003155479059093517
p(case | spirit) = 0.006485849056603773
p(and | case) = 0.01189127972819932
p(gasogene | a) = 0.003155479059093517
p(in | gasogene) = 0.006485849056603773
p(</s> | corner) = 0.0063364055299539165
p(wish | i) = 0.0030170049369171695
p(she | wish) = 0.006373117033603708
p(had | she) = 0.013560804899387576
p(of | been) = 0.005652620760534429
p(station | own) = 0.005958829902491874
p(</s> | station) = 0.006447831184056271
p(wonderful | a) = 0.003155479059093517
p(sympathy | wonderful) = 0.006485849056603773
p(and | sympathy) = 0.006485849056603773
p(freemasonry | and) = 0.002984264785675529
p(among | freemasonry) = 0.006485849056603773
p(horsey | among) = 0.006447831184056271
p(men | horsey) = 0.006485849056603773
p(</s> | men) = 0.006264236902050114
p(then | but) = 0.0052231718898385565
p(when | then) = 0.010681586978636826
p(how | found) = 0.006228765571913929
p(i | how) = 0.011375947995666305
p(betrayed | had) = 0.005009107468123861
p(myself | betrayed) = 0.006485849056603773
p(i | myself) = 0.006193693693693694
p(began | i) = 0.00575973669775096
p(to | began) = 0.0123094958968347
p(think | to) = 0.01152980877390326
p(</s> | think) = 0.006264236902050114
p(distinction | the) = 0.002133436772692009
p(is | distinction) = 0.006485849056603773
p(clear | is) = 0.004610226320201173
p(</s> | clear) = 0.006300114547537227
p(to | <s>) = 0.004003049942813572
p(speak | to) = 0.003093363329583802
p(plainly | speak) = 0.006485849056603773
p(the | plainly) = 0.006485849056603773
p(matter | the) = 0.011830876648564777
p(implicates | matter) = 0.006193693693693694
p(the | implicates) = 0.006485849056603773
p(great | the) = 0.002133436772692009
p(house | great) = 0.006373117033603708
p(of | house) = 0.011627906976744186
p(ormstein | of) = 0.003102086858432036
p(hereditary | ormstein) = 0.006447831184056271
p(kings | hereditary) = 0.006447831184056271
p(of | kings) = 0.006485849056603773
p(also | was) = 0.004110612855007474
p(aware | also) = 0.00641025641025641
p(of | aware) = 0.012237762237762236
p(murmured | that) = 0.004270186335403727
p(settling | holmes) = 0.005350194552529183
p(himself | settling) = 0.006485849056603773
p(down | himself) = 0.012096774193548387
p(armchair | his) = 0.004424778761061947
p(and | armchair) = 0.006373117033603708
p(closing | and) = 0.002984264785675529
p(his | closing) = 0.006485849056603773
p(had | you) = 0.015321375186846037
p(my | had) = 0.005009107468123861
p(note | my) = 0.004790940766550522
p(he | note) = 0.006228765571913929
p(with | asked) = 0.006300114547537227
p(deep | a) = 0.003155479059093517
p(harsh | deep) = 0.00641025641025641
p(voice | harsh) = 0.006485849056603773
p(and | voice) = 0.00641025641025641
p(strongly | a) = 0.003155479059093517
p(marked | strongly) = 0.006485849056603773
p(german | marked) = 0.006485849056603773
p(accent | german) = 0.006300114547537227
p(</s> | accent) = 0.006485849056603773
p(a | not) = 0.019016697588126154
p(there | soul) = 0.0063364055299539165
p(save | there) = 0.005566801619433198
p(the | save) = 0.006447831184056271
p(two | the) = 0.004072924747866563
p(whom | two) = 0.006193693693693694
p(followed | had) = 0.005009107468123861
p(and | followed) = 0.00641025641025641
p(surpliced | a) = 0.003155479059093517
p(clergyman | surpliced) = 0.006485849056603773
p(who | clergyman) = 0.006373117033603708
p(seemed | who) = 0.005711318795430945
p(expostulating | be) = 0.005198487712665407
p(with | expostulating) = 0.006485849056603773
p(them | with) = 0.004986400725294651
p(</s> | them) = 0.006264236902050114
p(large | <s>) = 0.0020968356843309188
p(sitting | large) = 0.006447831184056271
p(on | room) = 0.005958829902491874
p(well | side) = 0.006373117033603708
p(furnished | well) = 0.006159014557670772
p(with | furnished) = 0.006485849056603773
p(long | with) = 0.004986400725294651
p(windows | long) = 0.0063364055299539165
p(almost | windows) = 0.006447831184056271
p(to | almost) = 0.006447831184056271
p(floor | the) = 0.002133436772692009
p(and | floor) = 0.006485849056603773
p(those | and) = 0.002984264785675529
p(preposterous | those) = 0.00641025641025641
p(english | preposterous) = 0.006447831184056271
p(window | english) = 0.00641025641025641
p(fasteners | window) = 0.006264236902050114
p(which | fasteners) = 0.006485849056603773
p(a | which) = 0.005149812734082397
p(child | a) = 0.003155479059093517
p(could | child) = 0.006485849056603773
p(open | could) = 0.006024096385542168
p(</s> | open) = 0.011824324324324323
p(this | <s>) = 0.004003049942813572
p(my | is) = 0.004610226320201173
p(and | friend) = 0.01195899772209567
p(colleague | and) = 0.002984264785675529
p(dr | colleague) = 0.006485849056603773
p(watson | dr) = 0.006485849056603773
p(who | watson) = 0.006300114547537227
p(occasionally | is) = 0.004610226320201173
p(good | occasionally) = 0.006485849056603773
p(me | help) = 0.0063364055299539165
p(cases | my) = 0.004790940766550522
p(</s> | cases) = 0.006485849056603773
p(do | <s>) = 0.0020968356843309188
p(note | you) = 0.004110612855007474
p(the | note) = 0.006228765571913929
p(peculiar | the) = 0.002133436772692009
p(construction | peculiar) = 0.006447831184056271
p(of | construction) = 0.006485849056603773
